country,hours,distance,city,address1,postalCode,latitude,storeId,phoneNumber,name,state,longitude
Mexico,De 07:00:00 a.m. a 10:00:00 p.m.,,Aguascalientes,Av Independencia 2351 (Recolecta en Drive Thru o dentro del Club),20120,21.906479,0000008118,(449) 910-7000,"Sam's Club Aguascalientes, Ags.",Aguascalientes,-102.296984
Mexico,De 08:00:00 a.m. a 10:00:00 p.m.,,Aguascalientes,Av Siglo XXI 3980 (Recolecta dentro del Club),20289,21.842616,0000004985,(449) 918-4016,"Sam's Club Santa Monica, Ags.",Aguascalientes,-102.324517
Mexico,De 09:00:00 a.m. a 09:00:00 p.m.,,Ensenada,Blvd. Reforma Carretera Ensenada La Paz 3976 A (Recolecta dentro del Club),22780,31.844908,0000006261,(646) 177-6292,"Sam's Club Ensenada, B.C.N.",Baja California,-116.604209
Mexico,De 07:00:00 a.m. a 09:00:00 p.m.,,Tijuana ,Insurgentes 18015 (Recolecta dentro del Club),22105,32.495447,0000004982,(664) 625-1541,"Sam's Club Macro Plaza, Tijuana",Baja California,-116.935135
Mexico,De 07:00:00 a.m. a 09:00:00 p.m.,,Mexicali,Blvd. Lázaro Cárdenas 1801 (Recolecta en Drive Thru o dentro del Club),21090,32.623369,0000004728,(686) 561-4973,"Sam's Club Mexicali, B.C.",Baja California,-115.456819
Mexico,De 07:00:00 a.m. a 09:00:00 p.m.,,Tijuana,Blvd. Sánchez Taboada 4005 (Recolecta dentro del Club),22320,32.476723,0000006523,(664) 634-6975,"Sam's Club Tijuana, B.C.",Baja California,-116.996643
Mexico,De 07:00:00 a.m. a 10:00:00 p.m.,,La Paz,Av. Agustín Olachea Esq. Libramiento Sur S/N (Recolecta en Drive Thru o dentro del Club),23080,24.118986,0000004981,(612) 124-2324,"Sam's Club Cola de Ballena, B.C.S.",Baja California Sur,-110.340157
Mexico,De 07:00:00 a.m. a 10:00:00 p.m.,,San Francisco De Campeche,Manzana D Lote 1 Sec. Fundadores (Recolecta dentro del Club),24028,19.849273,0000004832,(981) 811-6925,"Sam's Club Campeche, Cam",Campeche,-90.533953
Mexico,De 07:00:00 a.m. a 10:00:00 p.m.,,Ciudad del Carmen ,Av. Periferico Norte 52 (Recolecta dentro del Club),24118,18.651674,0000004935,(938) 286-1216,"Sam's Club Cd. del Carmen, Cam.",Campeche,-91.81416
Mexico,De 07:00:00 a.m. a 10:00:00 p.m.,,Tuxtla Gutierrez,Blvd. Salomon Gonzalez Blanco Esq. Carretera a Chiapa de Corzo S/N (Recolecta dentro del Club),29040,16.7446228,0000006248,(961) 121-2910,"Sam's Club Albino Corzo, Chis.",Chiapas,-93.0731034
Mexico,De 07:00:00 a.m. a 10:00:00 p.m.,,Comitán de Dominguez,Blvd. De las Federaciones Km 120+ 200 (Recolecta dentro del Club),29002,16.241226,0000004969,(963) 632-9434,"Sam's Club Comitán, Chis",Chiapas,-92.136251
Mexico,De 07:00:00 a.m. a 10:00:00 p.m.,,San Cristóbal de las Casas ,Eje 1 esq. Niño de Atocha S/N (Recolecta dentro del Club),29286,16.7212276,0000004992,(967) 631-7555,"Sam's Club San Cristobal de las casas, Ch",Chiapas,-92.6431453
Mexico,De 07:00:00 a.m. a 10:00:00 p.m.,,Tapachula,Carretera Tapachula km. 35 (Recolecta dentro del Club),30700,14.870645,0000004914,(962) 628-2880,"Sam's Club Tapachula, Chis.",Chiapas,-92.286685
Mexico,De 07:00:00 a.m. a 10:00:00 p.m.,,"Tuxtla Gutiérrez, Chiapas",Blvd. Belisario Domínguez 1550 (Recolecta en Drive Thru o dentro del Club),29020,16.753797,0000006563,(961) 615-7748,"Sam's Club Tuxtla Gutierrez, Chis",Chiapas,-93.149536
Mexico,De 07:00:00 a.m. a 10:00:00 p.m.,,Juarez,Av. Ejercito Nacional 7445 (Recolecta en Drive Thru o dentro del Club),32399,31.70714,0000006584,(656) 629-0907,"Sam's Club Cd. Juárez, Chih.",Chihuahua,-106.423573
Mexico,De 07:00:00 a.m. a 10:00:00 p.m.,,Chihuahua,Periférico de la Juventud 2200 (Recolecta en Drive Thru o dentro del Club),31238,28.636344,0000008240,(614) 429-1300,"Sam's Club Chihuahua, Chih.",Chihuahua,-106.121203
Mexico,De 09:00:00 a.m. a 09:00:00 p.m.,,Cuauhtémoc ,Av. 16 de Septiembre 3600 (Recolecta dentro del Club),31600,28.4055098,0000006234,(614) 581-4214,"Sam's Club Ciudad Cuauhtémoc, Chih.",Chihuahua,-106.8451202
Mexico,De 07:00:00 a.m. a 10:00:00 p.m.,,Delicias,Av. Ferrocarril Oriente 105 (Recolecta dentro del Club),33106,28.1978887,0000006249,(639) 474-6581,"Sam's Club Delicias, Chih.",Chihuahua,-105.4638147
Mexico,De 07:00:00 a.m. a 10:00:00 p.m.,,Hidalgo del Parral,Av. Tecnológico S/N (Recolecta dentro del Club),33800,26.9316786,0000006251,(627) 523-5732,"Sam's Club Hidalgo del Parral, Chih.",Chihuahua,-105.65099
Mexico,De 07:00:00 a.m. a 10:00:00 p.m.,,Chihuahua,Av. Homero 200 (Recolecta dentro del Club),31125,28.705137,0000004999,(614) 142-3292,"Sam's Club Homero, Chih.",Chihuahua,-106.129282
Mexico,De 07:00:00 a.m. a 10:00:00 p.m.,,"Ciudad Juaréz, Chih",Av. de Las Torres 2140  (Recolecta en Drive Thru o dentro del Club),32575,31.621745,0000006313,(656)173-3105,"Sam's Club Los Bravos, Chih.",Chihuahua,-106.393172
Mexico,De 07:00:00 a.m. a 10:00:00 p.m.,,Tlalpan,Calzada Acoxpa 438 (Recolecta en Drive Thru o dentro del Club),14300,19.2972409,0000004910,(55) 5679-3603,"Sam's Club Acoxpa, CDMX",Ciudad de Mexico,-99.1352499
Mexico,De 09:00 a.m. a 09:00 p.m.,,Iztapalapa,Calzada Ignacio Zaragoza 1385 (Recolecta en Drive Thru o dentro del Club),09210,19.3931571,0000006205,(55) 51 15 66 37,"Sam's Club Calzada Zaragoza, CDMX",Ciudad de Mexico,-99.0511572
Mexico,De 07:00:00 a.m. a 10:00:00 p.m.,,Tlalpan,Cañaverales 222 (Recolecta en Drive Thru o dentro del Club),14330,19.294325,0000006285,(55) 5481-9183,"Sam's Club Cuemanco, CDMX",Ciudad de Mexico,-99.106872
Mexico,De 07:00:00 a.m. a 10:00:00 p.m.,,Azcapotzalco,Av. El Rosario 1025 (Recolecta en Drive Thru o dentro del Club),02430,19.5022152,0000004975,(55) 91-27-10-43,"Sam's Club El Rosario, CDMX",Ciudad de Mexico,-99.2032921
