id,external_id,name,number,street,zip_code,suburb,province,state,phone,latitude,longitude,status,schedule,seller
1001,1001,MADERO,No. 4,Av. Francisco I. Madero,06500,Centro,Cuauhtémoc,CDMX,"{'lada': '--', 'number': '5555121331'}",19.434223,-99.140098,True,De Lunes a Domingo de 08:00 a 22:00,"{'id': 3496, 'name': 'Sanborns', 'logo': 'https://resources.claroshop.com/medios-plazavip/mkt/5c3cd792844b8_sanbornssjpeg.jpg', 'status': True}"
1010,1010,LINDAVISTA,No. 313,Av. Montevideo,07300,Lindavista,Gustavo A. Madero,CDMX,"{'lada': '--', 'number': '5555861100'}",19.490739,-99.132959,True,De Lunes a Domingo de 08:00 a 22:00,"{'id': 3496, 'name': 'Sanborns', 'logo': 'https://resources.claroshop.com/medios-plazavip/mkt/5c3cd792844b8_sanbornssjpeg.jpg', 'status': True}"
1011,1011,UNIVERSIDAD,No. 1000,Av. Universidad,03300,Santa Cruz Atoyac,Benito Juárez,CDMX,"{'lada': '--', 'number': '5556044634'}",19.368156,-99.165933,True,De Lunes a Domingo de 08:00 a 22:00,"{'id': 3496, 'name': 'Sanborns', 'logo': 'https://resources.claroshop.com/medios-plazavip/mkt/5c3cd792844b8_sanbornssjpeg.jpg', 'status': True}"
1013,1013,SATÉLITE,No. 2256,Circuito Centro Comercial,53100,Ciudad Satélite,Naucalpan de Juárez,ESTADO DE MÉXICO,"{'lada': '--', 'number': '5555624737'}",19.510712,-99.234422,True,De Lunes a Domingo de 08:00 a 22:00,"{'id': 3496, 'name': 'Sanborns', 'logo': 'https://resources.claroshop.com/medios-plazavip/mkt/5c3cd792844b8_sanbornssjpeg.jpg', 'status': True}"
1015,1015,CENTENARIO,No. 5,Parque Centenario,04000,Del Carmén,Coyoacán,CDMX,"{'lada': '--', 'number': '5556597135'}",19.349826,-99.163305,True,De Lunes a Domingo de 08:00 a 22:00,"{'id': 3496, 'name': 'Sanborns', 'logo': 'https://resources.claroshop.com/medios-plazavip/mkt/5c3cd792844b8_sanbornssjpeg.jpg', 'status': True}"
1016,1016,PEDREGAL,No. 630,Avenida San Jerónimo,01900,Jardínes del Pedregal,Álvaro Obregón,CDMX,"{'lada': '--', 'number': '5555955631'}",19.331605,-99.207777,True,De Lunes a Domingo de 08:00 a 22:00,"{'id': 3496, 'name': 'Sanborns', 'logo': 'https://resources.claroshop.com/medios-plazavip/mkt/5c3cd792844b8_sanbornssjpeg.jpg', 'status': True}"
1017,1017,BOKER,No. 35,Isabel la Católica,06000,Centro,Cuauhtémoc,CDMX,"{'lada': '--', 'number': '5555181038'}",19.43239,-99.136545,True,De Lunes a Domingo de 08:00 a 22:00,"{'id': 3496, 'name': 'Sanborns', 'logo': 'https://resources.claroshop.com/medios-plazavip/mkt/5c3cd792844b8_sanbornssjpeg.jpg', 'status': True}"
1018,1018,SAN ANTONIO,No. 882,Insurgentes Sur,03100,Del Valle Centro,Benito Juárez,CDMX,"{'lada': '--', 'number': '5555230185'}",19.386767,-99.174246,True,De Lunes a Domingo de 08:00 a 22:00,"{'id': 3496, 'name': 'Sanborns', 'logo': 'https://resources.claroshop.com/medios-plazavip/mkt/5c3cd792844b8_sanbornssjpeg.jpg', 'status': True}"
1019,1019,XOLA,No. 1856,Av. Xola,03020,Narvarte,Benito Juárez,CDMX,"{'lada': '--', 'number': '5555380983'}",19.395527,-99.147299,True,De Lunes a Domingo de 08:00 a 22:00,"{'id': 3496, 'name': 'Sanborns', 'logo': 'https://resources.claroshop.com/medios-plazavip/mkt/5c3cd792844b8_sanbornssjpeg.jpg', 'status': True}"
1021,1021,PERISUR,No. 4690,Perisur Periférico,04600,Jardines del Pedregal,Coyoacán,CDMX,"{'lada': '--', 'number': '5556061270'}",19.30396,-99.189277,True,De Lunes a Domingo de 08:00 a 22:00,"{'id': 3496, 'name': 'Sanborns', 'logo': 'https://resources.claroshop.com/medios-plazavip/mkt/5c3cd792844b8_sanbornssjpeg.jpg', 'status': True}"
1022,1022,AZCAPOTZALCO,No. 527,Av. Azcapotzalco,02000,Centro de Azcapotzalco,Azcapotzalco,CDMX,"{'lada': '--', 'number': '5555614311'}",19.47826,-99.186911,True,De Lunes a Domingo de 08:00 a 22:00,"{'id': 3496, 'name': 'Sanborns', 'logo': 'https://resources.claroshop.com/medios-plazavip/mkt/5c3cd792844b8_sanbornssjpeg.jpg', 'status': True}"
1023,1023,VILLA COAPA,No. 728,Calzada Acoxpa,14390,Villa Coapa,Tlalpan,CDMX,"{'lada': '--', 'number': '5555945871'}",19.293822,-99.125881,True,De Lunes a Domingo de 08:00 a 22:00,"{'id': 3496, 'name': 'Sanborns', 'logo': 'https://resources.claroshop.com/medios-plazavip/mkt/5c3cd792844b8_sanbornssjpeg.jpg', 'status': True}"
1025,1025,RIVIERA,No. 1164,Av. Division del Norte,03100,Del Valle,Benito Juárez,CDMX,"{'lada': '--', 'number': '5555595518'}",19.380476,-99.158999,True,De Lunes a Domingo de 08:00 a 22:00,"{'id': 3496, 'name': 'Sanborns', 'logo': 'https://resources.claroshop.com/medios-plazavip/mkt/5c3cd792844b8_sanbornssjpeg.jpg', 'status': True}"
1026,1026,PALMAS,No. 781,Avenida Paseo de las Palmas,11560,Lomas de Chapultepec V Sección,Miguel Hidalgo,CDMX,"{'lada': '--', 'number': '5552021174'}",19.428941,-99.216859,True,De Lunes a Domingo de 08:00 a 22:00,"{'id': 3496, 'name': 'Sanborns', 'logo': 'https://resources.claroshop.com/medios-plazavip/mkt/5c3cd792844b8_sanbornssjpeg.jpg', 'status': True}"
1027,1027,MASARYK,No. 345,Hegel,11550,Polanco IV Sección,Miguel Hidalgo,CDMX,"{'lada': '--', 'number': '5552552513'}",19.431701,-99.188291,True,De Lunes a Domingo de 08:00 a 22:00,"{'id': 3496, 'name': 'Sanborns', 'logo': 'https://resources.claroshop.com/medios-plazavip/mkt/5c3cd792844b8_sanbornssjpeg.jpg', 'status': True}"
1028,1028,BUENAVISTA,No. 70,Avenida Insurgentes Norte,06400,Santa María la Ribera,Cuauhtémoc,CDMX,"{'lada': '--', 'number': '5555350683'}",19.442497,-99.154965,True,De Lunes a Domingo de 08:00 a 22:00,"{'id': 3496, 'name': 'Sanborns', 'logo': 'https://resources.claroshop.com/medios-plazavip/mkt/5c3cd792844b8_sanbornssjpeg.jpg', 'status': True}"
1029,1029,CUAUTITLÁN,s/n,Autopista Edomex-Queretaro KM 37 Manzana - A,54750,Arcos del Alba,Cuautitlán Izcalli,ESTADO DE MÉXICO,"{'lada': '--', 'number': '5558714120'}",19.64953,-99.197726,True,De Lunes a Domingo de 08:00 a 22:00,"{'id': 3496, 'name': 'Sanborns', 'logo': 'https://resources.claroshop.com/medios-plazavip/mkt/5c3cd792844b8_sanbornssjpeg.jpg', 'status': True}"
1030,1030,CUERNAVACA CENTRO,No. 28,Bvld. Benito Juárez y Abasolo,62000,Centro,Cuernavaca,MORELOS,"{'lada': '--', 'number': '7773184602'}",18.918963,-99.234151,True,De Lunes a Domingo de 08:00 a 22:00,"{'id': 3496, 'name': 'Sanborns', 'logo': 'https://resources.claroshop.com/medios-plazavip/mkt/5c3cd792844b8_sanbornssjpeg.jpg', 'status': True}"
